ClientIP,Domain,TotalTime_ms,ServersVisited,Result
10.0.0.1,afresnohomeinspector.com.,302.77,2,FAILED_NO_GLUE
10.0.0.1,alchemedialtd.com.,0.00,0,CACHE_HIT
10.0.0.1,alenpuaca.com.,0.00,0,CACHE_HIT
10.0.0.1,amorefieldlife.com.,0.00,0,CACHE_HIT
10.0.0.1,aqvr.com.,0.00,0,CACHE_HIT
10.0.0.1,asadventure.com.,0.00,0,CACHE_HIT
10.0.0.1,astrumonline.ru.,347.71,2,FAILED_NO_GLUE
10.0.0.1,auqzzx.com.,299.87,2,NXDOMAIN
10.0.0.1,australiatradenow.com.,0.00,0,CACHE_HIT
10.0.0.1,autofirenze.biz.,198.60,2,FAILED_NO_GLUE
10.0.0.1,bikesandtransit.com.,0.00,0,CACHE_HIT
10.0.0.1,blueridgelife.com.,0.00,0,CACHE_HIT
10.0.0.1,b-matrix.com.,0.00,0,CACHE_HIT
10.0.0.1,buynowfromusa.com.,0.00,0,CACHE_HIT
10.0.0.1,camcard.com.,0.00,0,CACHE_HIT
10.0.0.1,caricsports.com.,0.00,0,CACHE_HIT
10.0.0.1,cetsi.fr.,0.00,0,CACHE_HIT
10.0.0.1,chonvn.com.,348.42,2,NXDOMAIN
10.0.0.1,chuamatsua.com.,346.25,3,REFUSED
10.0.0.1,coutureauchocolat.com.,296.71,2,NXDOMAIN
10.0.0.1,daehepharma.com.,430.12,3,FAILED_NO_GLUE
10.0.0.1,datepanchang.com.,0.00,0,CACHE_HIT
10.0.0.1,diamondknot.com.,0.00,0,CACHE_HIT
10.0.0.1,ditrblog.com.,289.37,2,NXDOMAIN
10.0.0.1,dj-producer-j-mbargo.com.,283.43,2,NXDOMAIN
10.0.0.1,door2games.com.,0.00,0,CACHE_HIT
10.0.0.1,effexdjs.com.,295.33,2,NXDOMAIN
10.0.0.1,energybulbs.co.uk.,319.74,2,FAILED_NO_GLUE
10.0.0.1,eugenbotnar.com.,297.33,2,NXDOMAIN
10.0.0.1,ex-jw.org.,254.72,2,FAILED_NO_GLUE
10.0.0.1,fini.net.,0.00,0,CACHE_HIT
10.0.0.1,forpsi.net.,0.00,0,CACHE_HIT
10.0.0.1,gamemob.com.,0.00,0,CACHE_HIT
10.0.0.1,gensee.com.,0.00,0,CACHE_HIT
10.0.0.1,globalpoliticalspectrum.com.,284.60,2,NXDOMAIN
10.0.0.1,group14eng.com.,0.00,0,CACHE_HIT
10.0.0.1,gusbi.com.,0.00,0,CACHE_HIT
10.0.0.1,healthnews4you.com.,0.00,0,CACHE_HIT
10.0.0.1,hemcolubricants.com.,303.14,2,FAILED_NO_GLUE
10.0.0.1,hornil.com.,0.00,0,CACHE_HIT
10.0.0.1,house-sg.com.,282.41,2,FAILED_NO_GLUE
10.0.0.1,iag-inc.com.,279.19,2,FAILED_NO_GLUE
10.0.0.1,i-butterfly.ru.,347.46,2,FAILED_NO_GLUE
10.0.0.1,informarexresistere.fr.,307.86,2,FAILED_NO_GLUE
10.0.0.1,interfloracentral.co.uk.,308.14,2,FAILED_NO_GLUE
10.0.0.1,jantv.in.,173.07,2,FAILED_NO_GLUE
10.0.0.1,junio.com.,0.00,0,CACHE_HIT
10.0.0.1,kathihill.com.,0.00,0,CACHE_HIT
10.0.0.1,kennethehartman.com.,0.00,0,CACHE_HIT
10.0.0.1,khsm.ru.,356.35,2,FAILED_NO_GLUE
10.0.0.1,kh.ua.,0.00,0,CACHE_HIT
10.0.0.1,linksplash.info.,187.10,2,NXDOMAIN
10.0.0.1,livelinks.com.,0.00,0,CACHE_HIT
10.0.0.1,localhost.re.,310.38,2,FAILED_NO_GLUE
10.0.0.1,lozo.com.,0.00,0,CACHE_HIT
10.0.0.1,luckypuppygames.com.,0.00,0,CACHE_HIT
10.0.0.1,memeblender.com.,0.00,0,CACHE_HIT
10.0.0.1,mesites.co.za.,824.00,3,FAILED_NO_GLUE
10.0.0.1,michiganbulb.com.,0.00,0,CACHE_HIT
10.0.0.1,monsterhomesecuritystore.com.,288.87,2,NXDOMAIN
10.0.0.1,mwzip.com.,0.00,0,CACHE_HIT
10.0.0.1,mysearch-online.com.,300.83,2,NXDOMAIN
10.0.0.1,newstetic.com.,0.00,0,CACHE_HIT
10.0.0.1,niceinternetmoney.ru.,362.77,2,NXDOMAIN
10.0.0.1,ondemandappliancerepair.com.,0.00,0,CACHE_HIT
10.0.0.1,o-ov.com.,447.23,3,REFUSED
10.0.0.1,owlcreek.com.,0.00,0,CACHE_HIT
10.0.0.1,pbprofile.com.,305.84,2,NXDOMAIN
10.0.0.1,phi-pe.com.,284.23,2,NXDOMAIN
10.0.0.1,pictures-thailand.com.,0.00,0,CACHE_HIT
10.0.0.1,pieceinch.com.,0.00,0,CACHE_HIT
10.0.0.1,portclydegeneralstore.com.,0.00,0,CACHE_HIT
10.0.0.1,ppsuika.ac.id.,445.75,3,FAILED_NO_GLUE
10.0.0.1,probigbets.com.,290.40,2,NXDOMAIN
10.0.0.1,progettogiovani.pd.it.,0.00,0,CACHE_HIT
10.0.0.1,radioterminal.ru.,0.00,0,CACHE_HIT
10.0.0.1,reprosystems.ru.,351.90,2,FAILED_NO_GLUE
10.0.0.1,retiragroup.com.,293.63,2,NXDOMAIN
10.0.0.1,rtsab.com.,472.96,3,FAILED_NO_GLUE
10.0.0.1,running-sigi.de.,318.69,2,NXDOMAIN
10.0.0.1,sdccdonline.net.,5306.60,3,FAILED_TIMEOUT
10.0.0.1,sheltercoveinn.com.,613.39,3,FAILED_NO_GLUE
10.0.0.1,shivalikprints.com.,0.00,0,CACHE_HIT
10.0.0.1,shqqaa.com.,0.00,0,CACHE_HIT
10.0.0.1,simternet.com.,0.00,0,CACHE_HIT
10.0.0.1,somode.com.,294.24,2,NXDOMAIN
10.0.0.1,stunninggirls.net.,0.00,0,CACHE_HIT
10.0.0.1,toaskfuture.com.,0.00,0,CACHE_HIT
10.0.0.1,tottenhamhk.com.,298.76,2,NXDOMAIN
10.0.0.1,triggerfish.se.,0.00,0,CACHE_HIT
10.0.0.1,tuhafhaberler.com.,281.95,2,NXDOMAIN
10.0.0.1,uahoy.net.,284.12,2,NXDOMAIN
10.0.0.1,us.tf.,295.72,2,FAILED_NO_GLUE
10.0.0.1,wrestlingfanssuck.com.,0.00,0,CACHE_HIT
10.0.0.1,zzxu.cn.,327.07,2,FAILED_NO_GLUE
10.0.0.1,2brightsparks.co.uk.,359.09,2,FAILED_NO_GLUE
10.0.0.1,41latitude.com.,349.07,3,FAILED_NO_GLUE
10.0.0.1,7dfps.com.,0.00,0,CACHE_HIT
10.0.0.1,advertos.ru.,363.84,2,FAILED_NO_GLUE
10.0.0.1,afairjudgement.com.,0.00,0,CACHE_HIT
10.0.0.1,afresnohomeinspector.com.,287.35,2,FAILED_NO_GLUE
10.0.0.1,alchemedialtd.com.,0.00,0,CACHE_HIT
10.0.0.1,alenpuaca.com.,0.00,0,CACHE_HIT
10.0.0.1,amorefieldlife.com.,0.00,0,CACHE_HIT
10.0.0.1,aqvr.com.,0.00,0,CACHE_HIT
10.0.0.1,asadventure.com.,0.00,0,CACHE_HIT
10.0.0.1,astrumonline.ru.,363.90,2,FAILED_NO_GLUE
10.0.0.1,auqzzx.com.,288.83,2,NXDOMAIN
10.0.0.1,australiatradenow.com.,0.00,0,CACHE_HIT
10.0.0.1,autofirenze.biz.,199.18,2,FAILED_NO_GLUE
10.0.0.1,bikesandtransit.com.,0.00,0,CACHE_HIT
10.0.0.1,blueridgelife.com.,0.00,0,CACHE_HIT
10.0.0.1,b-matrix.com.,0.00,0,CACHE_HIT
10.0.0.1,buynowfromusa.com.,0.00,0,CACHE_HIT
10.0.0.1,camcard.com.,0.00,0,CACHE_HIT
10.0.0.1,caricsports.com.,0.00,0,CACHE_HIT
10.0.0.1,cetsi.fr.,0.00,0,CACHE_HIT
10.0.0.1,chonvn.com.,280.19,2,NXDOMAIN
10.0.0.1,chuamatsua.com.,373.05,3,REFUSED
10.0.0.1,coutureauchocolat.com.,306.18,2,NXDOMAIN
10.0.0.1,daehepharma.com.,439.34,3,FAILED_NO_GLUE
10.0.0.1,datepanchang.com.,0.00,0,CACHE_HIT
10.0.0.1,diamondknot.com.,0.00,0,CACHE_HIT
10.0.0.1,ditrblog.com.,301.02,2,NXDOMAIN
10.0.0.1,dj-producer-j-mbargo.com.,316.87,2,NXDOMAIN
10.0.0.1,door2games.com.,0.00,0,CACHE_HIT
10.0.0.1,effexdjs.com.,279.71,2,NXDOMAIN
10.0.0.1,energybulbs.co.uk.,309.92,2,FAILED_NO_GLUE
10.0.0.1,eugenbotnar.com.,309.09,2,NXDOMAIN
10.0.0.1,ex-jw.org.,219.32,2,FAILED_NO_GLUE
10.0.0.1,fini.net.,0.00,0,CACHE_HIT
10.0.0.1,forpsi.net.,0.00,0,CACHE_HIT
10.0.0.1,gamemob.com.,0.00,0,CACHE_HIT
10.0.0.1,gensee.com.,0.00,0,CACHE_HIT
10.0.0.1,globalpoliticalspectrum.com.,318.01,2,NXDOMAIN
10.0.0.1,group14eng.com.,0.00,0,CACHE_HIT
10.0.0.1,gusbi.com.,0.00,0,CACHE_HIT
10.0.0.1,healthnews4you.com.,0.00,0,CACHE_HIT
10.0.0.1,hemcolubricants.com.,288.48,2,FAILED_NO_GLUE
10.0.0.1,hornil.com.,0.00,0,CACHE_HIT
10.0.0.1,house-sg.com.,300.57,2,FAILED_NO_GLUE
10.0.0.1,iag-inc.com.,329.92,2,FAILED_NO_GLUE
10.0.0.1,i-butterfly.ru.,346.98,2,FAILED_NO_GLUE
10.0.0.1,informarexresistere.fr.,296.65,2,FAILED_NO_GLUE
10.0.0.1,interfloracentral.co.uk.,303.80,2,FAILED_NO_GLUE
10.0.0.1,jantv.in.,173.18,2,FAILED_NO_GLUE
10.0.0.1,junio.com.,0.00,0,CACHE_HIT
10.0.0.1,kathihill.com.,0.00,0,CACHE_HIT
10.0.0.1,kennethehartman.com.,0.00,0,CACHE_HIT
10.0.0.1,khsm.ru.,398.87,2,FAILED_NO_GLUE
10.0.0.1,kh.ua.,0.00,0,CACHE_HIT
10.0.0.1,linksplash.info.,178.11,2,NXDOMAIN
10.0.0.1,livelinks.com.,0.00,0,CACHE_HIT
10.0.0.1,localhost.re.,304.33,2,FAILED_NO_GLUE
10.0.0.1,lozo.com.,0.00,0,CACHE_HIT
10.0.0.1,luckypuppygames.com.,0.00,0,CACHE_HIT
10.0.0.1,memeblender.com.,0.00,0,CACHE_HIT
10.0.0.1,mesites.co.za.,819.13,3,FAILED_NO_GLUE
10.0.0.1,michiganbulb.com.,0.00,0,CACHE_HIT
10.0.0.1,monsterhomesecuritystore.com.,290.56,2,NXDOMAIN
10.0.0.1,mwzip.com.,0.00,0,CACHE_HIT
10.0.0.1,mysearch-online.com.,285.53,2,NXDOMAIN
10.0.0.1,newstetic.com.,0.00,0,CACHE_HIT
10.0.0.1,niceinternetmoney.ru.,367.72,2,NXDOMAIN
10.0.0.1,ondemandappliancerepair.com.,0.00,0,CACHE_HIT
10.0.0.1,o-ov.com.,491.60,3,REFUSED
10.0.0.1,owlcreek.com.,0.00,0,CACHE_HIT
10.0.0.1,pbprofile.com.,289.00,2,NXDOMAIN
10.0.0.1,phi-pe.com.,302.87,2,NXDOMAIN
10.0.0.1,pictures-thailand.com.,0.00,0,CACHE_HIT
10.0.0.1,pieceinch.com.,0.00,0,CACHE_HIT
10.0.0.1,portclydegeneralstore.com.,0.00,0,CACHE_HIT
10.0.0.1,ppsuika.ac.id.,467.44,3,FAILED_NO_GLUE
10.0.0.1,probigbets.com.,308.83,2,NXDOMAIN
10.0.0.1,progettogiovani.pd.it.,0.00,0,CACHE_HIT
10.0.0.1,radioterminal.ru.,0.00,0,CACHE_HIT
10.0.0.1,reprosystems.ru.,419.44,2,FAILED_NO_GLUE
10.0.0.1,retiragroup.com.,297.16,2,NXDOMAIN
10.0.0.1,rtsab.com.,500.59,3,FAILED_NO_GLUE
10.0.0.1,running-sigi.de.,342.40,2,NXDOMAIN
10.0.0.1,sdccdonline.net.,5295.94,3,FAILED_TIMEOUT
10.0.0.1,sheltercoveinn.com.,576.59,3,FAILED_NO_GLUE
10.0.0.1,shivalikprints.com.,0.00,0,CACHE_HIT
10.0.0.1,shqqaa.com.,0.00,0,CACHE_HIT
10.0.0.1,simternet.com.,0.00,0,CACHE_HIT
10.0.0.1,somode.com.,288.05,2,NXDOMAIN
10.0.0.1,stunninggirls.net.,0.00,0,CACHE_HIT
10.0.0.1,toaskfuture.com.,0.00,0,CACHE_HIT
10.0.0.1,tottenhamhk.com.,304.51,2,NXDOMAIN
10.0.0.1,triggerfish.se.,0.00,0,CACHE_HIT
10.0.0.1,tuhafhaberler.com.,297.46,2,NXDOMAIN
10.0.0.1,uahoy.net.,295.50,2,NXDOMAIN
10.0.0.1,us.tf.,330.15,2,FAILED_NO_GLUE
10.0.0.1,wrestlingfanssuck.com.,0.00,0,CACHE_HIT
10.0.0.1,zzxu.cn.,330.09,2,FAILED_NO_GLUE
